text,x,y,z
Pixel,10.694718,-3.5390534,-3.5431643
Romy,12.954209,-22.870295,-9.712437
Pixel,10.80442,-3.1040587,-4.7553325
Achituv,5.7322545,-18.755621,-17.029144
stretched,9.325229,23.473953,1.9155443
frame,-5.161278,-0.39215493,-13.297189
trace,-11.070804,17.062954,-6.2009883
technique,1.7815726,22.483473,13.616832
Motion,-8.300927,29.120821,-9.167915
appear,-16.150671,0.87755436,-2.241905
crossing,-7.183441,16.712727,8.798225
scanned,8.9369,19.152145,-4.736449
Representational,9.165785,9.202775,9.224064
Time,-3.2344627,10.723992,-20.399769
speeds,-19.456308,26.6024,-0.62691575
camera,9.438513,2.4421217,-12.407851
reflects,-3.2004519,11.263379,23.785797
dynamic,-8.268372,3.5379252,7.5419946
Michael,16.637152,-21.525953,0.22196318
Image,8.839186,0.7799534,3.24023
Michael,16.637152,-21.525953,0.22196318
Image,8.196716,1.0174581,1.5147419
From,-13.415437,-10.679387,-5.131369
powerful,-12.448438,7.6247663,16.203474
image,11.40031,0.49469253,1.2778676
combines,-10.24283,17.61133,10.030242
images,12.35243,-2.9109805,4.017163
enhance,-14.714876,20.793432,12.890573
captured,5.3840594,18.54658,-0.14426671
unwanted,11.191984,19.36105,9.19146
captured,4.960186,19.435123,0.70209116
lengths,-21.110899,28.072474,-1.3785814
Brendan,17.535616,-18.386555,-6.075639
Dont,-31.133493,6.6000676,-4.0609493
Brendan,16.845186,-17.290926,-5.997711
Dont,-32.00534,5.7518625,-4.5188146
About,-28.233862,-9.537003,-16.20124
graphic,9.225492,6.8726325,2.3351426
Look,-16.072329,4.096199,-2.369881
specially,-18.649157,2.2283475,25.700834
Processing,-1.2361416,20.642584,-10.169705
frame,-6.40599,-0.66669947,-13.174631
output,-14.984415,13.108738,-10.954374
still,-23.454407,5.774448,16.362988
Tracking,-10.781342,19.826345,-6.1058536
images,13.602227,-1.6149617,4.116094
bars,-5.7153006,1.0710311,-11.439189
JiHoon,1.4841343,-26.014608,-13.859882
Timescape,5.379074,9.3146715,-24.181034
JiHoon,2.4216757,-26.751286,-13.339913
Timescape,4.259582,9.40786,-23.491402
video,3.4174585,6.5253506,-11.424919
1pixelwidth,8.33606,-3.5492024,-4.420327
whereas,-22.872272,-0.44582257,12.182158
of,-12.414124,-22.62171,-7.5676093
space,1.0036255,2.5307295,-26.93992
From,-14.346339,-10.615322,-6.8819246
Joachim,7.92614,-19.41415,-15.536535
Joachim,8.12872,-18.253603,-16.053988
Dietmar,9.933964,-19.720167,-17.212362
Wegzeit,-1.1408893,9.596814,-20.931942
More,-12.044884,-9.654461,8.758637
Loop,-6.7723303,10.424975,-11.571255
Camille,13.844407,-29.246864,-6.6601768
Liquid,-2.0026655,24.305502,-24.511892
Camille,11.610824,-30.041811,-7.107157
Liquid,-1.9499762,26.334538,-24.251476
Camille,12.642335,-30.312391,-5.26865
Liquid,-1.9499762,26.334538,-24.251476
Utterback,-11.011478,-2.2846646,-15.243609
participants,-6.6939445,0.28381798,5.0784283
projection,-13.349164,17.064419,-14.774117
are,-29.434948,-0.21020511,-1.5165884
viewers,9.64275,-12.35758,16.16499
only,-17.827291,-0.9678325,22.453499
space,0.88171196,2.174895,-25.711826
resulting,-1.8881075,14.887253,4.6662636
imagery,14.869216,3.3165615,8.515821
unit,-5.941245,-8.302346,0.46631938
based,-4.6510115,16.82611,-3.0348449
Jussi,3.8726652,-20.370932,-10.360307
Last,-22.393036,-9.572049,18.892609
Jussi,3.592732,-21.929808,-9.597335
Last,-22.99237,-11.176376,18.45917
Jussi,5.155235,-21.57295,-10.315721
Last,-21.469482,-10.994857,19.332928
second,-16.845446,-8.881178,15.922579
hands,-0.1239874,-11.036841,7.7303905
circle,-11.081309,7.053323,-12.019765
made,-4.764866,16.635921,-0.7523474
around,-13.862421,-2.0184438,2.3634658
has,-27.072668,-2.8037317,-5.837759
has,-28.263361,-3.3703108,-5.3528066
Alvaro,1.0640321,-15.889187,-20.048489
Khronos,17.475275,-2.9157934,-22.031248
Alvaro,1.0640321,-15.889187,-20.048489
Khronos,17.475275,-2.9157934,-22.031248
J5ZnY4,-7.292655,-8.800111,-24.458366
Alvaro,1.0640321,-15.889187,-20.048489
Khronos,17.975613,-3.3883827,-20.410093
Knapek,14.221605,-10.996194,-17.080666
produced,-0.42014977,15.4707,1.8587964
scanned,9.846566,19.46869,-3.7743614
record,2.4715934,12.253259,-8.127438
well,-16.853415,0.6857729,13.883791
Knapek,15.098872,-10.7039385,-16.162169
images,12.207539,-1.608309,5.2569833
spell,-0.6049121,10.555672,-4.6828785
one,-12.985575,-9.227335,16.819918
left,-11.109772,2.1834807,-13.829593
voil¡,-6.3993096,-28.005816,-3.5778592
of,-12.414124,-22.62171,-7.5676093
Moframe,-5.002047,-2.7650898,-12.9035015
IqHC34w,-7.9825687,-9.582534,-23.606428
Giga,3.0292983,-1.8856068,-27.499937
Five,-10.915625,-6.7974734,16.494286
Sam,14.789057,-17.416567,0.19999965
end,-17.954014,11.982129,-15.811651
